Gaze point at (425.918125885191, 381.998187587374) @619604512.842894

Gaze point at (426.070731083178, 382.396088824379) @619604523.448074

Gaze point at (425.983284483982, 381.425427186481) @619604535.115077

Gaze point at (428.276529554727, 381.332252960771) @619604546.347273

Gaze point at (429.139233126621, 381.341230427964) @619604556.775171

Gaze point at (429.622314362109, 381.585506981875) @619604568.779476

Gaze point at (430.284063060831, 383.285733692871) @619604579.825527

Gaze point at (430.646581741468, 383.890487677378) @619604590.184844

Gaze point at (430.745327350522, 383.703218682645) @619604601.869576

Gaze point at (431.892488977492, 385.945401275351) @619604612.787331

Gaze point at (432.665637570849, 387.165466048337) @619604623.406506

Gaze point at (433.337940373804, 387.650253641141) @619604635.075375

Gaze point at (434.255796973579, 387.929901089881) @619604646.137288

Gaze point at (434.220384337158, 387.876348090109) @619604656.693948

Gaze point at (435.316298551398, 387.161586744677) @619604668.583953

Gaze point at (435.067664640986, 382.662356676424) @619604679.388341

Gaze point at (435.866241535447, 383.643241741197) @619604690.020112

Gaze point at (436.156583392976, 383.583428066074) @619604701.857866

Gaze point at (433.143274960574, 386.241616472541) @619604712.3898

Gaze point at (428.592280890868, 390.135554010338) @619604722.883478

Gaze point at (415.886232110301, 420.622765799685) @619604733.479793

Gaze point at (412.178407600962, 430.609166447671) @619604744.591625

Gaze point at (331.558338265501, 485.726915857555) @619604789.449498

Gaze point at (242.692105033703, 436.152511820741) @619604801.375893

Gaze point at (170.365318656876, 384.316377856411) @619604812.803099

Gaze point at (172.965807256405, 357.212672785888) @619604823.470794

Gaze point at (195.744498111239, 269.548825423281) @619604834.856479

Gaze point at (209.30804191627, 255.973303090521) @619604846.057418

Gaze point at (232.729537906659, 248.721142858444) @619604856.70925

Gaze point at (240.805082612929, 254.50574149361) @619604868.501284

Gaze point at (265.017676529139, 232.113139199273) @619604879.258552

Gaze point at (283.515243199733, 216.336374859634) @619604889.964502

Gaze point at (303.233691392092, 186.42982048729) @619604901.979537

Gaze point at (308.091821309966, 167.456674909605) @619604912.803053

Gaze point at (308.186086134117, 169.252752086388) @619604923.281335

Gaze point at (312.286761393247, 151.689895541326) @619604934.91055

Gaze point at (313.618951166656, 155.076814124957) @619604946.107757

Gaze point at (315.360794439987, 145.97362812172) @619604956.544518

Gaze point at (316.265917837798, 147.81897643553) @619604968.458316

Gaze point at (316.206099135232, 148.298940451127) @619604979.633129

Gaze point at (315.595067829999, 147.235420025549) @619604989.870216

Gaze point at (315.774897311904, 147.73518286148) @619605001.588538

Gaze point at (315.795547290013, 148.111401759717) @619605012.633189

Gaze point at (315.668396674859, 149.120880821274) @619605023.203378

Gaze point at (315.162709930955, 149.214930092998) @619605034.808799

Gaze point at (313.256820697338, 149.69460226184) @619605046.011138

Gaze point at (313.107380799292, 149.687588564933) @619605056.502484

Gaze point at (312.921387719356, 149.552781066914) @619605068.073848

Gaze point at (309.798557682378, 148.290584247776) @619605079.232333

Gaze point at (308.56922193374, 147.642635777978) @619605089.884632

Gaze point at (307.579744332916, 147.280611611151) @619605101.624414

Gaze point at (306.544195898842, 146.707128281792) @619605112.746976

Gaze point at (306.243905046173, 145.649441045188) @619605123.137551

Gaze point at (305.904450961166, 145.547477710719) @619605134.876866

Gaze point at (304.56672254281, 144.668556040086) @619605145.859002

Gaze point at (304.408904087024, 144.491146635909) @619605156.369942

Gaze point at (303.984686555722, 144.313893326894) @619605168.127919

Gaze point at (303.27815388361, 144.852996537826) @619605179.19543

Gaze point at (303.206250669931, 144.850737981135) @619605189.798277

Gaze point at (303.154680440714, 144.76610423) @619605201.457349

Gaze point at (303.095518274693, 145.122223915085) @619605212.634962

Gaze point at (303.002678229403, 145.265409343957) @619605223.109979

Gaze point at (301.953807220644, 147.098155087957) @619605234.943067

Gaze point at (302.458055340447, 146.55889564387) @619605245.832363

Gaze point at (301.880253627479, 148.383613801432) @619605256.426812

Gaze point at (285.85596145079, 203.327826259926) @619605268.228176

Gaze point at (222.333356580532, 422.838675439536) @619605279.2523

Gaze point at (220.60977497304, 429.25885327222) @619605289.610685

Gaze point at (219.715105923324, 432.990006589784) @619605301.497891

Gaze point at (218.195732896659, 439.881791731959) @619605312.26309

Gaze point at (216.104199480794, 447.588508924444) @619605323.165449

Gaze point at (215.956027263646, 448.41009940814) @619605334.784866

Gaze point at (216.028929872403, 448.9875541232) @619605345.864974

Gaze point at (216.694980792168, 449.565854962045) @619605356.398774

Gaze point at (216.350227208921, 449.005194577104) @619605368.211801

Gaze point at (216.426632743155, 448.960999422946) @619605379.282112

Gaze point at (215.429939604785, 448.917705618434) @619605389.56865

Gaze point at (207.579237427915, 448.562718286383) @619605401.342489

Gaze point at (181.617069911804, 444.304634716262) @619605412.477181

Gaze point at (144.102757933395, 435.359497478372) @619605422.874287

Gaze point at (136.967289126503, 434.409067672155) @619605434.573015

Gaze point at (129.194687366907, 432.97268393331) @619605445.823406

Gaze point at (125.372387095361, 432.593336437774) @619605456.255502

Gaze point at (120.69574764907, 432.280064359468) @619605468.171633

Gaze point at (106.831121599111, 428.904754987678) @619605479.166832

Gaze point at (105.689566294006, 427.987217592268) @619605489.47763

Gaze point at (106.641179766645, 429.321744624379) @619605501.251469

Gaze point at (106.560682614285, 431.045311689931) @619605512.529852

Gaze point at (107.181795622946, 431.383434732866) @619605522.810326

Gaze point at (107.095884588111, 431.114132690431) @619605534.662075

Gaze point at (106.338582287003, 429.232418755827) @619605545.799566

Gaze point at (105.562621201085, 428.398994317546) @619605556.048782

Gaze point at (105.147761805895, 427.925840276487) @619605567.946252

Gaze point at (104.598578551406, 427.209303145887) @619605578.964777

Gaze point at (103.82540869402, 425.390953342501) @619605589.382878

Gaze point at (104.082119500581, 425.735536902763) @619605601.211301

Gaze point at (102.609173195636, 423.291320963824) @619605612.21583

Gaze point at (101.227026482599, 420.426099045277) @619605622.733302

Gaze point at (101.156045300642, 420.411261465247) @619605634.525802

Gaze point at (98.1027498765182, 418.782933186649) @619605645.732806

Gaze point at (94.112389356458, 416.873734798697) @619605656.056667

Gaze point at (91.9710536268058, 416.119074888184) @619605667.673285

Gaze point at (90.2112306305961, 414.943969035893) @619605678.980593

Gaze point at (120.401377048117, 406.268755940163) @619605689.394961

Gaze point at (121.143625517358, 405.966357321468) @619605701.114682

Gaze point at (135.846559516959, 398.355232447603) @619605712.163066

Gaze point at (138.429214157784, 394.223826314584) @619605722.687068

Gaze point at (140.046714917833, 391.979495449323) @619605734.793544

Gaze point at (140.785858140831, 390.879084469914) @619605745.566208

Gaze point at (145.091778530864, 392.811322746402) @619605755.958649

Gaze point at (145.1883229319, 390.784669601198) @619605767.653177

Gaze point at (144.527739453016, 389.556375628928) @619605778.767341

Gaze point at (144.217648658283, 388.911481022838) @619605789.299742

Gaze point at (143.59948110505, 386.990450498548) @619605800.851979

Gaze point at (143.71740234361, 387.347070709149) @619605812.165818

Gaze point at (143.293450921515, 386.342802184638) @619605822.517671

Gaze point at (141.938718857642, 384.049176830129) @619605834.378285

Gaze point at (141.363405637538, 383.876473699833) @619605845.350624

Gaze point at (141.381233337451, 384.027245141004) @619605855.826107

Gaze point at (140.801286283504, 383.385903508787) @619605867.535098

Gaze point at (142.661678302278, 391.058409457237) @619605878.755632

Gaze point at (143.079437147276, 391.814696706761) @619605889.225983

