Gaze point at (382.43295847937, 119.62244702248) @619695535.473839

Gaze point at (386.793736405676, 116.596500598866) @619695546.030033

Gaze point at (391.220482054896, 110.88006280597) @619695557.458172

Gaze point at (392.661506860576, 103.07346417421) @619695568.597996

Gaze point at (395.440595652481, 99.8680861883403) @619695579.259158

Gaze point at (396.421615714586, 100.213840645339) @619695590.664904

Gaze point at (398.519078578222, 93.3008769015767) @619695601.868643

Gaze point at (399.711510119044, 87.6382755169911) @619695612.444897

Gaze point at (399.699633285681, 87.6468594264576) @619695623.912225

Gaze point at (400.754494819435, 85.9721568887484) @619695635.494786

Gaze point at (401.441150253615, 86.0522591372427) @619695645.936213

Gaze point at (401.455485187594, 85.837329163737) @619695657.233724

Gaze point at (401.204245321748, 84.7743172290073) @619695668.715515

Gaze point at (401.293540893885, 84.5965242073654) @619695679.257246

Gaze point at (401.967470646013, 84.0012191005525) @619695690.872931

Gaze point at (401.735064681396, 84.1965155194364) @619695701.932977

Gaze point at (399.886001152009, 86.8704883423746) @619695712.49197

Gaze point at (400.158796200196, 86.3748543012775) @619695724.02088

Gaze point at (391.229762778377, 86.9687322073434) @619695735.308127

Gaze point at (305.622216153952, 89.0684091120338) @619695746.120446

Gaze point at (249.016900646636, 89.0771378940439) @619695757.267734

Gaze point at (231.881326596952, 88.3037004335083) @619695769.009849

Gaze point at (221.33517345564, 87.3621949954632) @619695779.225941

Gaze point at (211.512498096822, 86.210445582542) @619695790.724061

Gaze point at (198.405423809626, 83.9109959088198) @619695802.086419

Gaze point at (193.349236884734, 81.1006561453025) @619695812.400017

Gaze point at (189.992384438291, 78.6827933882443) @619695823.926594

Gaze point at (190.038115796853, 77.689066748788) @619695835.272624

Gaze point at (190.24268629488, 74.3230724978866) @619695845.85681

Gaze point at (190.059011216091, 72.8371848859431) @619695857.170183

Gaze point at (189.070144190701, 70.4233503935291) @619695868.767673

Gaze point at (189.296835476736, 70.2841086376586) @619695879.164779

Gaze point at (185.664811203342, 65.6381686589349) @619695890.602249

Gaze point at (184.325303318708, 61.8847471667832) @619695901.957144

Gaze point at (183.34028351267, 59.1497808180191) @619695912.413499

Gaze point at (184.001854364641, 57.6699968617701) @619695923.93028

Gaze point at (184.75045288591, 57.064732820649) @619695935.224525

Gaze point at (185.149767661094, 56.408199109587) @619695945.817108

Gaze point at (185.080383474731, 55.8576259465823) @619695957.052104

Gaze point at (185.576797093206, 54.3652184012452) @619695968.669188

Gaze point at (187.305654873398, 53.3634622418269) @619695979.174996

Gaze point at (187.513599191062, 52.9635576366063) @619695990.982425

Gaze point at (187.646119251529, 52.9003355320003) @619696001.767685

Gaze point at (186.7502191682, 51.5864176848021) @619696012.370532

Gaze point at (186.858108071345, 50.9120528407354) @619696023.748286

Gaze point at (186.65215607465, 50.5537092086361) @619696035.13677

Gaze point at (186.651779810247, 50.2744732337134) @619696045.636047

Gaze point at (187.028384256419, 49.502008504616) @619696056.918629

Gaze point at (188.857551067229, 39.5008405275792) @619696068.491393

Gaze point at (187.531219728462, 42.7159004930673) @619696078.832049

Gaze point at (153.279859374543, 50.4034266779259) @619696090.272785

Gaze point at (131.554370061957, 58.8116722910185) @619696101.800762

Gaze point at (87.3761715879139, 99.9897833621463) @619696112.250587

Gaze point at (18.3512004338382, 190.529449239748) @619696123.762235

Gaze point at (16.8915518956818, 192.395383933764) @619696135.105466

Gaze point at (16.3622549229904, 194.825279775971) @619696145.669124

Gaze point at (11.5363365396392, 199.635542449724) @619696156.96197

Gaze point at (11.2501571771631, 201.25496766687) @619696168.557594

Gaze point at (13.2718811299092, 200.889271149242) @619696178.915512

Gaze point at (12.5733468402753, 204.301272330324) @619696190.281136

Gaze point at (13.4091540100717, 207.828123817123) @619696201.772257

Gaze point at (12.9512949925555, 208.761757583473) @619696212.403562

Gaze point at (12.1089265486052, 209.344209900977) @619696223.630627

Gaze point at (12.3213921655334, 209.949268581806) @619696235.123614

Gaze point at (12.5843871154088, 210.529353052837) @619696245.459139

Gaze point at (13.6396410324808, 211.883392201639) @619696257.004844

Gaze point at (13.3546761388471, 211.732721234855) @619696268.485235

Gaze point at (13.2067974875509, 214.811015458359) @619696278.998974

Gaze point at (13.4990009043284, 216.725093761488) @619696290.330542

Gaze point at (13.8406788841879, 217.610593077341) @619696301.768479

Gaze point at (13.3883488050685, 221.657841768234) @619696312.117066

Gaze point at (13.4168601304075, 222.697373084994) @619696323.562467

Gaze point at (14.0157129844481, 224.661590588207) @619696335.009268

Gaze point at (14.9446717497823, 226.292079648371) @619696345.39611

Gaze point at (15.7400156225933, 226.615282478428) @619696356.748205

Gaze point at (21.072646323747, 224.218173829434) @619696368.550036

Gaze point at (20.7498683535833, 225.422741102508) @619696378.782924

Gaze point at (120.300984889695, 269.340031267338) @619696390.230191

Gaze point at (156.397829054123, 281.328150973359) @619696401.763767

Gaze point at (168.910516243772, 285.027447616279) @619696412.173936

Gaze point at (180.184984350739, 288.491734325238) @619696423.406132

Gaze point at (190.486301214348, 292.613665442829) @619696434.971899

Gaze point at (201.145805423699, 298.182771017078) @619696445.271033

Gaze point at (212.521309207147, 304.148633194286) @619696456.84613

Gaze point at (211.88129378809, 305.090298915888) @619696468.144574

Gaze point at (216.755495087139, 308.391706791708) @619696478.859855

Gaze point at (219.959865726714, 309.994302635875) @619696490.114445

Gaze point at (218.967076769646, 308.7602252031) @619696501.356438

Gaze point at (219.358713029863, 309.293140392524) @619696511.923829

Gaze point at (219.812005259422, 310.642698720777) @619696523.345437

Gaze point at (220.416575357824, 313.264105653691) @619696534.664875

Gaze point at (220.850942221184, 313.563488624465) @619696545.152021

Gaze point at (221.332580540943, 313.88802076276) @619696556.773305

Gaze point at (222.095559066678, 313.749861858915) @619696568.247631

Gaze point at (221.7429638605, 313.70441948524) @619696578.734778

Gaze point at (222.27577348425, 314.476701377638) @619696589.868536

Gaze point at (222.760510245031, 317.381195777691) @619696601.273816

Gaze point at (223.018594698495, 319.017226012164) @619696612.0908

Gaze point at (223.711207087376, 320.661930745928) @619696623.179305

Gaze point at (223.64867413764, 320.02649733884) @619696634.718479

Gaze point at (223.953346031115, 320.588246497737) @619696645.236417

Gaze point at (224.259809425525, 321.645407126268) @619696656.490074

Gaze point at (224.560802128283, 322.099469928982) @619696668.171073

Gaze point at (224.644647147484, 322.218197722386) @619696678.610167

Gaze point at (225.93540732797, 322.98801205315) @619696689.79991

Gaze point at (226.35844143016, 323.963924878579) @619696701.310625

Gaze point at (227.667212461802, 324.464245855231) @619696711.760916

Gaze point at (227.863268832319, 324.762487971408) @619696723.085486

Gaze point at (229.467916428109, 326.816916040142) @619696734.537885
