Gaze point at (587.21, 513.37) @ 06h:15m:15s:757ms

Gaze point at (635.70, 539.06) @ 06h:15m:15s:923ms

Gaze point at (643.65, 549.38) @ 06h:15m:16s:138ms

Gaze point at (629.63, 541.83) @ 06h:15m:16s:304ms

Gaze point at (625.50, 539.09) @ 06h:15m:16s:470ms

Gaze point at (521.87, 323.57) @ 06h:15m:16s:639ms

Gaze point at (497.32, 206.68) @ 06h:15m:16s:804ms

Gaze point at (498.90, 190.39) @ 06h:15m:16s:970ms

Gaze point at (497.27, 172.36) @ 06h:15m:17s:136ms

Gaze point at (483.88, 176.37) @ 06h:15m:17s:304ms

Gaze point at (522.34, 557.96) @ 06h:15m:17s:571ms

Gaze point at (590.65, 451.79) @ 06h:15m:17s:738ms

Gaze point at (543.24, 299.21) @ 06h:15m:17s:904ms

Gaze point at (532.30, 279.00) @ 06h:15m:18s:071ms

Gaze point at (530.75, 240.96) @ 06h:15m:18s:237ms

Gaze point at (522.73, 218.34) @ 06h:15m:18s:404ms

Gaze point at (518.60, 227.33) @ 06h:15m:18s:571ms

Gaze point at (513.01, 310.20) @ 06h:15m:18s:737ms

Gaze point at (517.07, 320.11) @ 06h:15m:18s:904ms

Gaze point at (522.68, 319.30) @ 06h:15m:19s:070ms

Gaze point at (522.93, 321.60) @ 06h:15m:19s:237ms

Gaze point at (502.56, 226.59) @ 06h:15m:19s:403ms

Gaze point at (413.53, 99.94) @ 06h:15m:19s:570ms

Gaze point at (361.27, 80.42) @ 06h:15m:19s:736ms

Gaze point at (357.64, 69.79) @ 06h:15m:19s:903ms

Gaze point at (460.33, 213.88) @ 06h:15m:20s:070ms

Gaze point at (503.83, 295.16) @ 06h:15m:20s:236ms

Gaze point at (505.86, 302.87) @ 06h:15m:20s:403ms

Gaze point at (509.95, 309.29) @ 06h:15m:20s:569ms

Gaze point at (508.52, 312.31) @ 06h:15m:20s:736ms

Gaze point at (430.26, 428.88) @ 06h:15m:20s:902ms

Gaze point at (427.91, 422.93) @ 06h:15m:21s:069ms

Gaze point at (431.54, 417.65) @ 06h:15m:21s:236ms

Gaze point at (392.96, 482.19) @ 06h:15m:21s:402ms

Gaze point at (363.03, 528.05) @ 06h:15m:21s:568ms

Gaze point at (355.20, 527.07) @ 06h:15m:21s:735ms

Gaze point at (266.71, 739.05) @ 06h:15m:21s:902ms

Gaze point at (194.57, 772.68) @ 06h:15m:22s:068ms

Gaze point at (132.91, 774.86) @ 06h:15m:22s:235ms

Gaze point at (116.94, 772.99) @ 06h:15m:22s:401ms

Gaze point at (118.33, 785.66) @ 06h:15m:22s:568ms

Gaze point at (126.85, 788.49) @ 06h:15m:22s:734ms

Gaze point at (436.45, 547.01) @ 06h:15m:22s:901ms

Gaze point at (493.58, 441.10) @ 06h:15m:23s:067ms

Gaze point at (492.10, 445.37) @ 06h:15m:23s:234ms

Gaze point at (616.03, 456.02) @ 06h:15m:23s:401ms

Gaze point at (619.98, 461.95) @ 06h:15m:23s:567ms

Gaze point at (531.91, 235.58) @ 06h:15m:23s:734ms

Gaze point at (483.57, 243.45) @ 06h:15m:23s:900ms

Gaze point at (478.30, 272.55) @ 06h:15m:24s:066ms

Gaze point at (484.12, 323.16) @ 06h:15m:24s:233ms

Gaze point at (484.79, 345.39) @ 06h:15m:24s:399ms

Gaze point at (488.59, 348.44) @ 06h:15m:24s:566ms

Gaze point at (570.77, 233.49) @ 06h:15m:24s:855ms

Gaze point at (629.74, 184.13) @ 06h:15m:25s:022ms

Gaze point at (658.19, 235.22) @ 06h:15m:25s:189ms

Gaze point at (657.82, 248.87) @ 06h:15m:25s:355ms

Gaze point at (920.96, 253.83) @ 06h:15m:25s:522ms

Gaze point at (914.16, 259.08) @ 06h:15m:25s:689ms

Gaze point at (887.79, 213.96) @ 06h:15m:25s:855ms

Gaze point at (894.08, 211.72) @ 06h:15m:26s:021ms

Gaze point at (889.81, 201.75) @ 06h:15m:26s:188ms

Gaze point at (387.20, 420.72) @ 06h:15m:26s:488ms

Gaze point at (448.59, 311.26) @ 06h:15m:26s:657ms

Gaze point at (460.55, 240.04) @ 06h:15m:26s:821ms

Gaze point at (471.26, 213.25) @ 06h:15m:26s:988ms

Gaze point at (471.58, 202.46) @ 06h:15m:27s:154ms

Gaze point at (462.41, 201.52) @ 06h:15m:27s:321ms

Gaze point at (468.49, 218.06) @ 06h:15m:27s:487ms

Gaze point at (464.91, 219.61) @ 06h:15m:27s:654ms

Gaze point at (465.96, 226.91) @ 06h:15m:27s:820ms

Gaze point at (464.46, 275.31) @ 06h:15m:27s:987ms

Gaze point at (452.04, 315.99) @ 06h:15m:28s:153ms

Gaze point at (450.19, 311.03) @ 06h:15m:28s:320ms

Gaze point at (456.42, 322.03) @ 06h:15m:28s:486ms

Gaze point at (470.69, 354.70) @ 06h:15m:28s:653ms

Gaze point at (465.10, 355.40) @ 06h:15m:28s:819ms

Gaze point at (620.25, 233.85) @ 06h:15m:28s:986ms

Gaze point at (637.69, 225.58) @ 06h:15m:29s:153ms

Gaze point at (634.97, 228.12) @ 06h:15m:29s:319ms

Gaze point at (631.41, 228.56) @ 06h:15m:29s:485ms

Gaze point at (622.01, 305.08) @ 06h:15m:29s:652ms

Gaze point at (613.78, 271.29) @ 06h:15m:29s:819ms

Gaze point at (608.09, 258.01) @ 06h:15m:29s:985ms

Gaze point at (609.79, 255.28) @ 06h:15m:30s:152ms

Gaze point at (485.01, 237.30) @ 06h:15m:30s:318ms

Gaze point at (467.11, 192.12) @ 06h:15m:30s:485ms

Gaze point at (467.68, 204.53) @ 06h:15m:30s:652ms

Gaze point at (483.59, 239.87) @ 06h:15m:30s:818ms

Gaze point at (468.64, 252.70) @ 06h:15m:30s:984ms

Gaze point at (475.50, 254.15) @ 06h:15m:31s:150ms

Gaze point at (585.06, 287.45) @ 06h:15m:31s:318ms

Gaze point at (625.69, 345.51) @ 06h:15m:31s:484ms

Gaze point at (626.75, 342.92) @ 06h:15m:31s:651ms

Gaze point at (630.68, 382.36) @ 06h:15m:31s:817ms

Gaze point at (649.48, 369.91) @ 06h:15m:31s:984ms

Gaze point at (642.53, 374.27) @ 06h:15m:32s:150ms

Gaze point at (635.75, 381.65) @ 06h:15m:32s:317ms

Gaze point at (1020.14, 501.73) @ 06h:15m:32s:617ms

Gaze point at (629.10, 264.23) @ 06h:15m:32s:785ms

Gaze point at (635.04, 201.57) @ 06h:15m:32s:951ms

Gaze point at (632.97, 192.22) @ 06h:15m:33s:117ms

Gaze point at (623.89, 256.42) @ 06h:15m:33s:284ms

Gaze point at (630.42, 258.89) @ 06h:15m:33s:451ms

Gaze point at (615.78, 189.58) @ 06h:15m:33s:617ms

Gaze point at (619.33, 177.55) @ 06h:15m:33s:784ms

Gaze point at (629.68, 173.83) @ 06h:15m:33s:950ms

Gaze point at (604.52, 311.07) @ 06h:15m:34s:117ms

Gaze point at (609.51, 321.96) @ 06h:15m:34s:283ms

Gaze point at (636.06, 387.46) @ 06h:15m:34s:450ms

Gaze point at (649.51, 389.61) @ 06h:15m:34s:617ms

Gaze point at (661.38, 385.20) @ 06h:15m:34s:783ms

Gaze point at (660.08, 373.11) @ 06h:15m:34s:950ms

Gaze point at (659.95, 367.03) @ 06h:15m:35s:116ms

Gaze point at (1048.06, 503.18) @ 06h:15m:35s:284ms

Gaze point at (1331.50, 732.84) @ 06h:15m:35s:450ms

Gaze point at (1384.01, 737.37) @ 06h:15m:35s:616ms

Gaze point at (804.28, 390.67) @ 06h:15m:35s:782ms

Gaze point at (656.48, 354.33) @ 06h:15m:35s:949ms

Gaze point at (639.58, 356.69) @ 06h:15m:36s:115ms

Gaze point at (708.37, 570.94) @ 06h:15m:36s:282ms

Gaze point at (664.26, 814.99) @ 06h:15m:36s:448ms

Gaze point at (644.56, 179.51) @ 06h:15m:36s:615ms

Gaze point at (1067.73, 1099.33) @ 06h:15m:36s:782ms

Gaze point at (1105.35, 1008.87) @ 06h:15m:36s:948ms

Gaze point at (652.38, 350.69) @ 06h:15m:37s:119ms

Gaze point at (615.56, 206.45) @ 06h:15m:37s:281ms

Gaze point at (613.15, 216.76) @ 06h:15m:37s:448ms

Gaze point at (609.34, 212.24) @ 06h:15m:37s:614ms

Gaze point at (1188.30, 198.94) @ 06h:15m:37s:858ms

Gaze point at (1139.42, 52.87) @ 06h:15m:38s:025ms

Gaze point at (1143.06, 19.57) @ 06h:15m:38s:191ms

Gaze point at (1148.50, 32.25) @ 06h:15m:38s:358ms

Gaze point at (816.65, 17.87) @ 06h:15m:38s:524ms

Gaze point at (486.86, 40.85) @ 06h:15m:38s:691ms

Gaze point at (370.47, 57.93) @ 06h:15m:38s:857ms

Gaze point at (889.75, -7.69) @ 06h:15m:39s:024ms

Gaze point at (916.52, 3.68) @ 06h:15m:39s:190ms

Gaze point at (1051.78, 0.26) @ 06h:15m:39s:357ms

Gaze point at (1055.93, 3.00) @ 06h:15m:39s:524ms

Gaze point at (832.48, 305.83) @ 06h:15m:39s:734ms

Gaze point at (558.87, 16.14) @ 06h:15m:39s:902ms

Gaze point at (592.60, 43.37) @ 06h:15m:40s:068ms

Gaze point at (690.94, 35.20) @ 06h:15m:40s:235ms

Gaze point at (690.18, 26.80) @ 06h:15m:40s:401ms

Gaze point at (687.88, 27.28) @ 06h:15m:40s:568ms

