Gaze point at (507.22, -40.88) @ 05:44:57.440

Gaze point at (621.37, -17.43) @ 05:44:57.579

Gaze point at (711.23, 8.86) @ 05:44:57.746

Gaze point at (709.58, 18.63) @ 05:44:57.913

Gaze point at (667.18, 99.54) @ 05:44:58.079

Gaze point at (657.19, 114.00) @ 05:44:58.246

Gaze point at (654.06, 107.64) @ 05:44:58.412

Gaze point at (658.22, 114.86) @ 05:44:58.579

Gaze point at (459.69, 333.30) @ 05:44:58.745

Gaze point at (467.19, 328.36) @ 05:44:58.913

Gaze point at (271.72, 328.31) @ 05:44:59.078

Gaze point at (242.61, 329.52) @ 05:44:59.245

Gaze point at (290.63, 377.33) @ 05:44:59.411

Gaze point at (300.17, 392.89) @ 05:44:59.578

Gaze point at (314.44, 400.90) @ 05:44:59.744

Gaze point at (455.48, 554.23) @ 05:44:59.911

Gaze point at (458.35, 554.36) @ 05:45:00.077

Gaze point at (175.45, 204.45) @ 05:45:00.244

Gaze point at (134.32, 120.31) @ 05:45:00.410

Gaze point at (139.25, 133.93) @ 05:45:00.577

Gaze point at (258.52, 333.71) @ 05:45:00.744

Gaze point at (249.65, 318.05) @ 05:45:00.910

Gaze point at (247.26, 320.02) @ 05:45:01.077

Gaze point at (242.85, 314.77) @ 05:45:01.244

Gaze point at (243.41, 314.45) @ 05:45:01.410

Gaze point at (309.46, 364.36) @ 05:45:01.577

Gaze point at (306.40, 362.93) @ 05:45:01.743

Gaze point at (314.81, 364.44) @ 05:45:01.909

Gaze point at (754.51, 594.56) @ 05:45:02.076

Gaze point at (735.20, 589.04) @ 05:45:02.242

Gaze point at (747.02, 593.97) @ 05:45:02.409

Gaze point at (165.95, 179.48) @ 05:45:02.576

Gaze point at (161.96, 166.33) @ 05:45:02.743

Gaze point at (167.20, 174.28) @ 05:45:02.909

Gaze point at (428.16, 356.38) @ 05:45:03.075

Gaze point at (416.20, 355.15) @ 05:45:03.242

Gaze point at (418.70, 359.22) @ 05:45:03.408

Gaze point at (422.51, 361.30) @ 05:45:03.575

Gaze point at (798.22, 609.01) @ 05:45:03.742

Gaze point at (790.78, 603.62) @ 05:45:03.908

Gaze point at (748.11, 582.03) @ 05:45:04.074

Gaze point at (877.19, 576.08) @ 05:45:04.241

Gaze point at (913.51, 573.43) @ 05:45:04.408

Gaze point at (477.07, 347.33) @ 05:45:04.574

Gaze point at (423.62, 320.03) @ 05:45:04.741

Gaze point at (427.94, 322.08) @ 05:45:04.907

Gaze point at (428.74, 323.73) @ 05:45:05.074

Gaze point at (428.56, 321.89) @ 05:45:05.240

Gaze point at (287.47, 378.61) @ 05:45:05.406

Gaze point at (288.38, 380.85) @ 05:45:05.573

Gaze point at (273.05, 379.57) @ 05:45:05.740

Gaze point at (623.75, 546.66) @ 05:45:05.906

Gaze point at (609.31, 540.03) @ 05:45:06.073

Gaze point at (550.06, 578.21) @ 05:45:06.239

Gaze point at (685.99, 589.68) @ 05:45:06.406

Gaze point at (721.93, 596.37) @ 05:45:06.573

Gaze point at (192.13, 172.91) @ 05:45:06.740

Gaze point at (146.30, 108.21) @ 05:45:06.906

Gaze point at (141.64, 100.16) @ 05:45:07.072

Gaze point at (307.38, 420.90) @ 05:45:07.239

Gaze point at (301.61, 412.44) @ 05:45:07.405

Gaze point at (301.88, 416.47) @ 05:45:07.572

Gaze point at (303.12, 417.68) @ 05:45:07.738

Gaze point at (256.70, 345.10) @ 05:45:07.905

Gaze point at (250.47, 347.20) @ 05:45:08.071

Gaze point at (252.33, 348.71) @ 05:45:08.238

Gaze point at (256.42, 354.83) @ 05:45:08.404

Gaze point at (279.01, 355.80) @ 05:45:08.571

Gaze point at (759.25, 569.24) @ 05:45:08.739

Gaze point at (750.66, 566.88) @ 05:45:08.905

Gaze point at (839.07, 593.92) @ 05:45:09.071

Gaze point at (855.30, 598.68) @ 05:45:09.237

Gaze point at (368.43, 314.96) @ 05:45:09.403

Gaze point at (376.14, 304.17) @ 05:45:09.570

Gaze point at (367.46, 315.72) @ 05:45:09.737

Gaze point at (366.80, 312.60) @ 05:45:09.904

Gaze point at (277.62, 362.70) @ 05:45:10.070

Gaze point at (274.58, 360.30) @ 05:45:10.237

Gaze point at (266.98, 484.41) @ 05:45:10.480

Gaze point at (338.33, 353.27) @ 05:45:10.646

Gaze point at (254.02, 376.96) @ 05:45:10.813

Gaze point at (257.27, 379.31) @ 05:45:10.979

Gaze point at (256.45, 383.02) @ 05:45:11.146

Gaze point at (380.97, 366.29) @ 05:45:11.312

Gaze point at (375.40, 370.00) @ 05:45:11.479

Gaze point at (376.67, 370.75) @ 05:45:11.645

Gaze point at (509.33, 423.51) @ 05:45:11.812

Gaze point at (892.16, 568.38) @ 05:45:11.978

Gaze point at (899.68, 563.94) @ 05:45:12.146

Gaze point at (1004.16, 590.69) @ 05:45:12.311

Gaze point at (1039.98, 608.39) @ 05:45:12.478

Gaze point at (1045.21, 607.79) @ 05:45:12.645

Gaze point at (1055.31, 610.69) @ 05:45:12.811

Gaze point at (1069.09, 600.88) @ 05:45:12.978

Gaze point at (1036.04, 596.49) @ 05:45:13.145

Gaze point at (471.87, 325.68) @ 05:45:13.311

Gaze point at (429.73, 316.99) @ 05:45:13.478

Gaze point at (441.36, 314.53) @ 05:45:13.645

Gaze point at (436.43, 313.46) @ 05:45:13.810

Gaze point at (455.47, 365.45) @ 05:45:13.977

Gaze point at (441.90, 343.39) @ 05:45:14.143

Gaze point at (441.51, 343.85) @ 05:45:14.310

Gaze point at (447.20, 339.91) @ 05:45:14.477

Gaze point at (449.80, 340.44) @ 05:45:14.643

Gaze point at (449.02, 336.84) @ 05:45:14.810

Gaze point at (450.75, 343.05) @ 05:45:14.976

Gaze point at (441.19, 339.98) @ 05:45:15.143

Gaze point at (448.54, 345.33) @ 05:45:15.309

Gaze point at (447.78, 348.10) @ 05:45:15.476

Gaze point at (447.31, 351.42) @ 05:45:15.642

Gaze point at (443.82, 347.47) @ 05:45:15.809

Gaze point at (445.39, 350.49) @ 05:45:15.976

Gaze point at (443.70, 345.44) @ 05:45:16.142

Gaze point at (441.89, 347.97) @ 05:45:16.309

Gaze point at (470.63, 365.03) @ 05:45:16.475

Gaze point at (1062.03, 616.04) @ 05:45:16.642

Gaze point at (1062.74, 615.33) @ 05:45:16.808

Gaze point at (1095.31, 619.03) @ 05:45:16.975

Gaze point at (410.18, 391.72) @ 05:45:17.141

Gaze point at (413.18, 387.84) @ 05:45:17.308

Gaze point at (450.25, 349.01) @ 05:45:17.474

Gaze point at (444.54, 353.08) @ 05:45:17.641

Gaze point at (444.88, 352.20) @ 05:45:17.807

Gaze point at (448.79, 353.56) @ 05:45:17.973

Gaze point at (448.08, 352.14) @ 05:45:18.140

Gaze point at (450.97, 352.89) @ 05:45:18.307

Gaze point at (449.97, 355.44) @ 05:45:18.474

Gaze point at (447.36, 355.58) @ 05:45:18.641

Gaze point at (448.34, 353.28) @ 05:45:18.806

Gaze point at (447.92, 355.15) @ 05:45:18.973

Gaze point at (452.89, 347.72) @ 05:45:19.140

Gaze point at (450.58, 345.44) @ 05:45:19.306

Gaze point at (448.57, 343.68) @ 05:45:19.473

Gaze point at (448.68, 345.87) @ 05:45:19.639

Gaze point at (449.72, 345.29) @ 05:45:19.806

Gaze point at (427.32, 379.76) @ 05:45:19.972

Gaze point at (433.63, 423.81) @ 05:45:20.195

Gaze point at (1019.06, 596.07) @ 05:45:20.362

Gaze point at (1080.35, 614.22) @ 05:45:20.528

Gaze point at (406.18, 327.70) @ 05:45:20.695

Gaze point at (425.24, 333.97) @ 05:45:20.862

Gaze point at (431.58, 339.13) @ 05:45:21.028

Gaze point at (438.83, 347.42) @ 05:45:21.195

Gaze point at (527.38, 500.95) @ 05:45:21.361

Gaze point at (523.60, 507.48) @ 05:45:21.528

Gaze point at (343.66, 164.04) @ 05:45:21.695

Gaze point at (442.95, 271.02) @ 05:45:21.861

Gaze point at (571.50, 508.69) @ 05:45:22.027

Gaze point at (580.09, 516.74) @ 05:45:22.194

Gaze point at (581.27, 518.14) @ 05:45:22.360

Gaze point at (562.82, 577.42) @ 05:45:22.527

Gaze point at (568.43, 585.64) @ 05:45:22.693

Gaze point at (555.08, 586.29) @ 05:45:22.860

Gaze point at (545.20, 540.86) @ 05:45:23.027

Gaze point at (384.24, 158.34) @ 05:45:23.193

Gaze point at (373.59, 93.98) @ 05:45:23.360

Gaze point at (1147.61, 797.66) @ 05:45:23.602

Gaze point at (1091.23, 634.46) @ 05:45:23.769

Gaze point at (1089.26, 629.88) @ 05:45:23.936

Gaze point at (610.80, 569.11) @ 05:45:24.103

Gaze point at (457.28, 458.95) @ 05:45:24.269

Gaze point at (297.76, 114.09) @ 05:45:24.436

Gaze point at (292.55, 124.51) @ 05:45:24.602

Gaze point at (289.24, 133.40) @ 05:45:24.768

Gaze point at (246.93, 322.60) @ 05:45:24.935

Gaze point at (254.54, 322.79) @ 05:45:25.101

Gaze point at (253.31, 331.06) @ 05:45:25.269

Gaze point at (260.44, 336.41) @ 05:45:25.435

Gaze point at (257.37, 335.15) @ 05:45:25.601

Gaze point at (284.03, 337.02) @ 05:45:25.892

Gaze point at (287.21, 329.34) @ 05:45:26.058

Gaze point at (274.40, 341.00) @ 05:45:26.224

Gaze point at (254.17, 369.72) @ 05:45:26.391

Gaze point at (253.26, 369.38) @ 05:45:26.558

Gaze point at (253.90, 370.42) @ 05:45:26.724

Gaze point at (245.56, 362.81) @ 05:45:26.890

Gaze point at (252.18, 356.34) @ 05:45:27.057

Gaze point at (250.96, 355.79) @ 05:45:27.223

Gaze point at (256.59, 356.65) @ 05:45:27.389

Gaze point at (262.97, 362.18) @ 05:45:27.556

Gaze point at (309.07, 363.28) @ 05:45:27.723

Gaze point at (324.79, 365.36) @ 05:45:27.890

Gaze point at (319.56, 366.22) @ 05:45:28.057

Gaze point at (273.78, 319.70) @ 05:45:28.223

Gaze point at (459.28, 297.49) @ 05:45:28.390

Gaze point at (460.14, 298.83) @ 05:45:28.556

Gaze point at (601.89, 299.88) @ 05:45:28.723

Gaze point at (600.52, 295.13) @ 05:45:28.889

Gaze point at (595.08, 294.39) @ 05:45:29.056

Gaze point at (348.65, 312.49) @ 05:45:29.222

Gaze point at (271.78, 318.52) @ 05:45:29.388

Gaze point at (531.23, 390.57) @ 05:45:29.555

Gaze point at (1068.42, 609.88) @ 05:45:29.721

Gaze point at (1058.99, 608.79) @ 05:45:29.888

Gaze point at (991.62, 578.69) @ 05:45:30.054

Gaze point at (997.54, 582.43) @ 05:45:30.221

Gaze point at (997.34, 583.29) @ 05:45:30.387

Gaze point at (998.74, 597.45) @ 05:45:30.554

Gaze point at (384.80, 193.87) @ 05:45:30.721

Gaze point at (183.81, 78.87) @ 05:45:30.888

Gaze point at (126.16, 88.76) @ 05:45:31.054

Gaze point at (280.73, 74.55) @ 05:45:31.224

Gaze point at (368.88, 76.16) @ 05:45:31.387

Gaze point at (392.02, 85.36) @ 05:45:31.553

Gaze point at (602.55, 25.24) @ 05:45:31.720

Gaze point at (630.68, 21.76) @ 05:45:31.887

Gaze point at (1369.14, -6.35) @ 05:45:32.054

Gaze point at (1350.82, -3.41) @ 05:45:32.220

Gaze point at (1337.44, 14.34) @ 05:45:32.386

Gaze point at (1325.66, 32.54) @ 05:45:32.553

Gaze point at (1328.90, 298.32) @ 05:45:32.786

Gaze point at (1294.91, 36.95) @ 05:45:32.953

Gaze point at (710.11, 410.87) @ 05:45:33.119

Gaze point at (732.52, 400.26) @ 05:45:33.286

Gaze point at (420.18, 342.83) @ 05:45:33.452

Gaze point at (446.93, 362.62) @ 05:45:33.619

Gaze point at (846.19, 221.91) @ 05:45:33.785

Gaze point at (993.55, 169.71) @ 05:45:33.953

Gaze point at (1044.70, 175.55) @ 05:45:34.119

Gaze point at (1047.35, 171.43) @ 05:45:34.285

