Gaze point at (480.10, 270.96) @ 01:40:39.347

Gaze point at (494.60, 193.82) @ 01:40:39.483

Gaze point at (609.33, 208.29) @ 01:40:40.054

Gaze point at (602.52, 226.85) @ 01:40:40.220

Gaze point at (676.49, 85.95) @ 01:40:40.388

Gaze point at (720.03, 64.42) @ 01:40:40.554

Gaze point at (728.84, 75.48) @ 01:40:40.720

Gaze point at (723.51, 66.36) @ 01:40:40.887

Gaze point at (802.25, 42.68) @ 01:40:41.053

Gaze point at (617.95, 297.76) @ 01:40:41.220

Gaze point at (608.97, 327.89) @ 01:40:41.386

Gaze point at (445.58, 299.77) @ 01:40:41.553

Gaze point at (334.37, 297.16) @ 01:40:41.720

Gaze point at (373.36, 307.00) @ 01:40:41.887

Gaze point at (827.86, 266.40) @ 01:40:42.053

Gaze point at (1046.22, 264.09) @ 01:40:42.220

Gaze point at (1040.66, 279.85) @ 01:40:42.386

Gaze point at (713.98, 355.80) @ 01:40:42.552

Gaze point at (658.55, 333.67) @ 01:40:42.719

Gaze point at (663.60, 310.22) @ 01:40:42.884

Gaze point at (653.66, 274.30) @ 01:40:43.051

Gaze point at (296.47, 165.85) @ 01:40:43.218

Gaze point at (276.97, 106.78) @ 01:40:43.385

Gaze point at (276.61, 83.49) @ 01:40:43.552

Gaze point at (267.53, 73.58) @ 01:40:43.719

Gaze point at (266.87, 106.92) @ 01:40:43.885

Gaze point at (281.12, 82.81) @ 01:40:44.053

Gaze point at (240.42, 218.93) @ 01:40:44.318

Gaze point at (296.42, 165.61) @ 01:40:44.485

Gaze point at (885.64, 195.37) @ 01:40:44.652

Gaze point at (1096.63, 221.01) @ 01:40:44.817

Gaze point at (1087.43, 235.28) @ 01:40:44.985

Gaze point at (1052.29, 237.12) @ 01:40:45.151

Gaze point at (528.77, 243.90) @ 01:40:45.317

Gaze point at (316.57, 274.14) @ 01:40:45.484

Gaze point at (325.03, 279.41) @ 01:40:45.650

Gaze point at (296.67, 266.01) @ 01:40:45.818

Gaze point at (294.47, 260.75) @ 01:40:45.984

Gaze point at (296.06, 265.21) @ 01:40:46.150

Gaze point at (491.19, 287.93) @ 01:40:46.323

Gaze point at (1104.87, 287.81) @ 01:40:46.484

Gaze point at (1099.20, 280.90) @ 01:40:46.650

Gaze point at (1041.02, 234.92) @ 01:40:46.816

Gaze point at (321.50, 300.56) @ 01:40:46.982

Gaze point at (316.95, 305.76) @ 01:40:47.149

Gaze point at (320.43, 299.19) @ 01:40:47.315

Gaze point at (279.46, 248.41) @ 01:40:47.482

Gaze point at (279.83, 254.39) @ 01:40:47.649

Gaze point at (278.01, 253.54) @ 01:40:47.817

Gaze point at (871.19, 240.10) @ 01:40:47.982

Gaze point at (1044.46, 244.18) @ 01:40:48.149

Gaze point at (1034.65, 250.74) @ 01:40:48.318

Gaze point at (1030.70, 253.77) @ 01:40:48.482

Gaze point at (1026.06, 264.75) @ 01:40:48.649

Gaze point at (675.85, 247.25) @ 01:40:48.815

Gaze point at (287.29, 253.07) @ 01:40:48.982

Gaze point at (294.20, 250.92) @ 01:40:49.148

Gaze point at (303.51, 249.93) @ 01:40:49.312

Gaze point at (385.26, 273.15) @ 01:40:49.581

Gaze point at (423.81, 273.65) @ 01:40:49.748

Gaze point at (1067.80, 252.87) @ 01:40:49.915

Gaze point at (1057.57, 262.26) @ 01:40:50.080

Gaze point at (1056.73, 251.71) @ 01:40:50.247

Gaze point at (1060.35, 251.51) @ 01:40:50.414

Gaze point at (1072.96, 245.78) @ 01:40:50.581

Gaze point at (1082.76, 230.24) @ 01:40:50.747

Gaze point at (1081.73, 236.73) @ 01:40:50.914

Gaze point at (1366.45, 7.17) @ 01:40:51.080

Gaze point at (1359.55, 19.79) @ 01:40:51.247

Gaze point at (755.22, 161.66) @ 01:40:51.413

Gaze point at (360.64, 259.02) @ 01:40:51.580

Gaze point at (372.48, 262.74) @ 01:40:51.747

Gaze point at (367.45, 259.00) @ 01:40:51.913

Gaze point at (366.96, 263.96) @ 01:40:52.079

Gaze point at (805.56, 95.83) @ 01:40:52.246

Gaze point at (963.76, 13.16) @ 01:40:52.413

Gaze point at (1006.44, 8.26) @ 01:40:52.579

Gaze point at (1018.21, -23.13) @ 01:40:52.745

Gaze point at (1021.91, -41.57) @ 01:40:52.913

